text,label
"Your account has been suspended, click here to reactivate",phishing
"Meeting scheduled for Monday at 10 AM",safe
"Congratulations! You have won a $500 gift card",phishing
"Please review the attached report for this month",safe
"Urgent: Update your payment information immediately",phishing
"Team lunch at 1 PM today",safe
"Verify your identity to avoid account closure",phishing
"Project plan attached, please give your feedback",safe
"You have a new voicemail, click to listen",phishing
"Reminder: Submit your timesheet by 5 PM",safe
"Alert: Unusual login attempt detected",phishing
"Weekly newsletter from the marketing team",safe
"Your password will expire today, reset now",phishing
"Client meeting rescheduled to Thursday",safe
"Claim your free vacation reward before it expires",phishing
"Updated schedule for team training attached",safe
"Action required: Confirm your bank details",phishing
"Minutes of yesterday's meeting attached",safe
"Win a brand new iPhone, limited time offer",phishing
"Monthly performance report is ready",safe
"Your email has been compromised, reset your password",phishing
"Team outing planned for Friday",safe
"Get $1000 by completing this survey",phishing
"Project budget report attached",safe
"Security alert: Verify your account now",phishing
"Reminder: Submit your project update",safe
"Exclusive offer: Free gift card waiting for you",phishing
"Invoice for last month attached",safe
"Update your profile information to avoid account lock",phishing
"Team meeting notes from yesterday",safe
"Congratulations! You won a prize, claim here",phishing
"Client feedback received, please review",safe
"Verify your identity to access account",phishing
"Project timeline updated",safe
"Get a free laptop, limited time offer",phishing
"Weekly team report attached",safe
"Urgent: Confirm your credit card information",phishing
"Internal newsletter for September",safe
"Your account is at risk, click to secure it",phishing
"Minutes from the last meeting attached",safe
"Win a free Amazon voucher now",phishing
"Daily task list for today",safe
"Security alert: Change your password immediately",phishing
"Updated training materials attached",safe
"Claim your free cash prize now",phishing
"New policy documents uploaded",safe
"Unusual activity detected in your account, act now",phishing
"Team assignments for the week",safe
"Congratulations! Youâ€™ve been selected for a free gift",phishing
"Monthly financial summary attached",safe
"Action required: Verify your email address",phishing
"Project presentation slides attached",safe
"Get free access to premium software, click here",phishing
"Client meeting agenda attached",safe
"Your account is temporarily locked, verify now",phishing
"Weekly status update",safe
"Win a free smartwatch today",phishing
"Internal audit report attached",safe
"Security notice: Update your login details",phishing
"Team calendar for October attached",safe
"Congratulations! You won a contest, claim prize",phishing
"Draft report for review attached",safe
"Confirm your payment information to avoid suspension",phishing
"Meeting minutes attached",safe
"Get a free subscription, limited time",phishing
"Training session schedule attached",safe
"Verify your account to receive rewards",phishing
"Project kickoff notes attached",safe
"Urgent: Claim your prize now",phishing
"Weekly project summary attached",safe
"Your email account may have been hacked",phishing
"Task list for today attached",safe
"Win a free gaming console, click here",phishing
"Monthly progress report attached",safe
"Security alert: Unauthorized login attempt",phishing
"Client correspondence attached",safe
"Claim your free voucher before it expires",phishing
"Team update for the week attached",safe
"Action required: Reset your password immediately",phishing
"Internal newsletter attached",safe
"Congratulations! You've won a shopping spree",phishing
"Project milestone report attached",safe
"Update your account information to continue service",phishing
"Meeting follow-up notes attached",safe
"Get free rewards by clicking this link",phishing
"Weekly team summary attached",safe
"Security notice: Verify your login immediately",phishing
"Client invoice attached",safe
"Win a free tablet, limited time",phishing
"Daily project report attached",safe
"Urgent: Confirm your billing information",phishing
"Minutes from last team meeting",safe
"Congratulations! Free gift waiting for you",phishing
"Updated project plan attached",safe
"Your account is at risk, immediate action required",phishing
"Task assignments for the team",safe
"Claim your free credit now",phishing
"Training materials for the week attached",safe
"Verify your identity to receive gift",phishing
"Weekly status report attached",safe
"Win a free smartphone, limited offer",phishing
"Client feedback report attached",safe
"Security alert: Suspicious login detected",phishing
"Project update summary attached",safe
"Claim your reward before it expires",phishing
"Internal meeting notes attached",safe
"Action required: Update account details",phishing
"Monthly team report attached",safe
"Congratulations! You won a contest, claim prize",phishing
"Task tracking report attached",safe
"Urgent: Verify your email to continue service",phishing
"Weekly project update attached",safe
